Func Name	Time(s)	Package Energy(J)	PP0 Energy(J)	% Time	% Package Energy	% PP0 Energy	Package Power(w)	PP0 Power(w)	# Calls	Time Avg	Time Stddev	Package Energy Avg	PP0 Energy Avg	Package Energy Stddev	PP0 Energy Stddev
std::vector<double, std::allocator<double> >::_M_insert_aux(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&)	8.54498	197.905	170.21	72.1606	71.8642	71.8207	23.1603	19.9192	8543	0.00100023	1.47445e-06	0.0231657	0.0199239	0.00233302	0.00203186
mX_matrix_utils::gmres(mX_matrix_utils::distributed_sparse_matrix*, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double&, double&, int, std::vector<double, std::allocator<double> >&, int&, int&)	2.34901	56.1136	48.4292	19.8369	20.3762	20.4349	23.8881	20.6168	84	0.0279644	0.00461546	0.668019	0.576539	0.109865	0.0955085
std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::_M_insert_aux(__gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> >*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > >, std::vector<double, std::allocator<double> > const&)	0.529082	11.9753	10.2615	4.46799	4.34854	4.32988	22.6341	19.3949	509	0.00103945	2.75263e-05	0.0235271	0.0201601	0.00365278	0.00303874
std::vector<double, std::allocator<double> >* std::__uninitialized_copy<false>::__uninit_copy<std::vector<double, std::allocator<double> >*, std::vector<double, std::allocator<double> >*>(std::vector<double, std::allocator<double> >*, std::vector<double, std::allocator<double> >*, std::vector<double, std::allocator<double> >*)	0.3988	9.25595	7.98079	3.36778	3.36107	3.36753	23.2095	20.012	384	0.00103854	3.18039e-05	0.024104	0.0207833	0.00445395	0.00397803
_GLOBAL__sub_I_main	0.0122255	0	0	0.103241	0	0	0	0	1	0.0122255	0	0	0	0	0
mX_matrix_utils::distributed_sparse_matrix_add_to(mX_matrix_utils::distributed_sparse_matrix*, int, int, double, int, int)	0.00500246	0.113312	0.0972443	0.0422447	0.0411464	0.0410327	22.6512	19.4393	5	0.00100049	3.93251e-07	0.0226624	0.0194489	7.50009e-05	5.99575e-05
mX_matrix_utils::destroy_matrix(mX_matrix_utils::distributed_sparse_matrix*)	0.00136797	0.0155334	0.00851441	0.0115522	0.00564059	0.00359269	11.3551	6.22413	1	0.00136797	0	0.0155334	0.00851441	0	0
mX_linear_DAE_utils::destroy(mX_linear_DAE_utils::mX_linear_DAE*)	0.00114459	0.0087738	0.00541687	0.00966579	0.00318599	0.00228567	7.66548	4.7326	1	0.00114459	0	0.0087738	0.00541687	0	0
