----------------------------------------																											
----       Per-function profile     ----																											
----------------------------------------																											
				Core 0						Core 1						Core 2						Core 3					
Func Name	Total Energy(j)	Total Time(s)	Total Energy Efficiency(inst/joule)	Energy(j)	Time(s)	Energy Efficiency(inst/joule)	% of Total Function Energy	%of Total Function Time	% difference in Energy Efficiency	Energy(j)	Time(s)	Energy Efficiency(inst/joule)	% of Total Function Energy	%of Total Function Time	% difference in Energy Efficiency	Energy(j)	Time(s)	Energy Efficiency(inst/joule)	% of Total Function Energy	%of Total Function Time	% difference in Energy Efficiency	Energy(j)	Time(s)	Energy Efficiency(inst/joule)	% of Total Function Energy	%of Total Function Time	% difference in Energy Efficiency
Kokkos::Impl::ViewInit<Kokkos::View<double* [3], Kokkos::LayoutRight, Kokkos::OpenMP, void, Kokkos::Impl::LayoutDefault>, 2u>::operator()(unsigned long) const at Kokkos_ViewSupport.hpp	0.148193	0.016	315819000	0.0637391	0.004	232616000	43.0108	25	30.3419	0.0203604	0.004	369698000	13.7391	25	15.7192	0.0193594	0.004	372886000	13.0636	25	16.5721	0.0447345	0.004	385151000	30.1866	25	19.7816
Atom::unpack_commItem(int const&) const at atom.cpp	0.143778	0.015	338512000	0.0411274	0.004	345840000	28.6048	26.6667	2.14157	0.0453424	0.005	337678000	31.5364	33.3333	0.246848	0.0317454	0.003	331091000	22.0795	20	2.21648	0.0255627	0.003	337418000	17.7793	20	0.323644
Atom::sortItem(int const&) const at atom.cpp	0.134949	0.008	185364000	0.0313294	0.002	194669000	23.2158	25	4.89685	0.0354136	0.002	181550000	26.2423	25	2.0791	0.0325794	0.002	186053000	24.142	25	0.371094	0.0356263	0.002	180343000	26.3999	25	2.74608
at<long unsigned int, long unsigned int> at Kokkos_View.hpp	0.132699	0.012	609192000	0.0348895	0.002	511358000	26.2923	16.6667	17.4618	0.012914	0.002	510826000	9.7318	16.6667	17.565	0.0423558	0.004	651409000	31.9187	33.3333	6.6979	0.0425395	0.004	677259000	32.0572	33.3333	10.5822
Atom::pack_commItemPBC(int const&) const at atom.cpp	0.130546	0.009	216757000	0.0344559	0.002	209355000	26.3936	22.2222	3.47407	0.0285249	0.002	207016000	21.8504	22.2222	4.59723	0.0332161	0.002	208136000	25.4439	22.2222	4.05815	0.0343494	0.003	240608000	26.3121	33.3333	10.4296
Atom::pack_reverseItem(int const&) const at atom.cpp	0.127506	0.015	219433000	0.0492959	0.003	221567000	38.6616	20	0.967993	0.00572874	0.004	219067000	4.49291	26.6667	0.166633	0.0661414	0.004	218143000	51.8731	26.6667	0.589445	0.00634007	0.004	216621000	4.97237	26.6667	1.28967
Kokkos::Impl::ViewInit<Kokkos::View<double* [3], Kokkos::OpenMP, void, void, Kokkos::Impl::LayoutDefault>, 2u>::operator()(unsigned long) const at Kokkos_ViewSupport.hpp	0.0676565	0.007	169038000	0.0275355	0.002	182598000	40.6989	28.5714	7.71251	0.0180856	0.002	154863000	26.7314	28.5714	8.75274	0.0189226	0.002	155123000	27.9687	28.5714	8.58537	0.00311283	0.001	216036000	4.60094	14.2857	24.4097
DeepCopyFunctor<Kokkos::View<double* [3], Kokkos::OpenMP, void, void, Kokkos::Impl::LayoutDefault>, 2>::operator()(int) const at types.h	0.0635018	0.006	329491000	0.0193437	0.002	319307000	30.4616	33.3333	3.13918	0.0232321	0.002	317743000	36.5849	33.3333	3.63026	0.0116633	0.001	351947000	18.3669	16.6667	6.59093	0.00926276	0.001	351947000	14.5866	16.6667	6.59069
Kokkos::Impl::ParallelFor<NeighborBinatomsFunctor, unsigned long, Kokkos::OpenMP>::ParallelFor(NeighborBinatomsFunctor const&, unsigned long) at Kokkos_OpenMP_Parallel.hpp	0.0560853	0.006	535773000	0.0164024	0.002	519443000	29.2454	33.3333	3.09501	0.0181555	0.002	517728000	32.3712	33.3333	3.42558	0.0102347	0.001	563433000	18.2485	16.6667	5.03284	0.0112927	0.001	563432000	20.1348	16.6667	5.03258
Neighbor::coord2bin(double, double, double) const at neighbor.cpp	0.0471447	0.005	510488000	0.0188693	0.002	539098000	40.0243	40	5.45166	0.020947	0.002	534434000	44.4313	40	4.58315	0.00732837	0.001	368379000	15.5444	20	32.3392	0	0	0	0	0	0
