----------------------------------------																											
----       Per-function profile     ----																											
----------------------------------------																											
				Core 0						Core 1						Core 2						Core 3					
Func Name	Total Energy(j)	Total Time(s)	Total Energy Efficiency(inst/joule)	Energy(j)	Time(s)	Energy Efficiency(inst/joule)	% of Total Function Energy	%of Total Function Time	% difference in Energy Efficiency	Energy(j)	Time(s)	Energy Efficiency(inst/joule)	% of Total Function Energy	%of Total Function Time	% difference in Energy Efficiency	Energy(j)	Time(s)	Energy Efficiency(inst/joule)	% of Total Function Energy	%of Total Function Time	% difference in Energy Efficiency	Energy(j)	Time(s)	Energy Efficiency(inst/joule)	% of Total Function Energy	%of Total Function Time	% difference in Energy Efficiency
Kokkos::Impl::ParallelFor<ForceZeroFunctor, unsigned long, Kokkos::OpenMP>::ParallelFor(ForceZeroFunctor const&, unsigned long) at Kokkos_OpenMP_Parallel.hpp	0.071841	0.005	288936000	0.183146	0.153846	0.0460433	0.0384231																				
Kokkos::Impl::ViewInit<Kokkos::View<int**, Kokkos::OpenMP, void, void, Kokkos::Impl::LayoutDefault>, 2u>::operator()(unsigned long) const at Kokkos_ViewSupport.hpp	0.0680428	0.003	497562000	0.173463	0.0923077	0.043609	0.0230539																				
Atom::pack_reverseItem(int const&) const at atom.cpp	0.0661414	0.004	218143000	0.168616	0.123077	0.0423903	0.0307385																				
DeepCopyFunctor<Kokkos::View<double* [3], Kokkos::LayoutRight, Kokkos::OpenMP, void, Kokkos::Impl::LayoutDefault>, 2>::operator()(int) const at types.h	0.0648891	0.005	214910000	0.165424	0.153846	0.0415878	0.0384231																				
random at setup.cpp	0.0433915	0.007	270572000	0.110619	0.215385	0.0278098	0.0537924																				
at<long unsigned int, long unsigned int> at Kokkos_View.hpp	0.0423558	0.004	651409000	0.107979	0.123077	0.027146	0.0307385																				
Atom::pack_commItemPBC(int const&) const at atom.cpp	0.0332161	0.002	208136000	0.0846787	0.0615385	0.0212884	0.0153692																				
Atom::sortItem(int const&) const at atom.cpp	0.0325794	0.002	186053000	0.0830555	0.0615385	0.0208803	0.0153692																				
Atom::unpack_commItem(int const&) const at atom.cpp	0.0317454	0.003	331091000	0.0809295	0.0923077	0.0203458	0.0230539																				
Neighbor::binatomsItem(int const&) const at neighbor.cpp	0.028203	0.003	345447000	0.0718987	0.0923077	0.0180755	0.0230539																				
Kokkos::Impl::ViewInit<Kokkos::View<double* [3], Kokkos::LayoutRight, Kokkos::OpenMP, void, Kokkos::Impl::LayoutDefault>, 2u>::operator()(unsigned long) const at Kokkos_ViewSupport.hpp	0.0193594	0.004	372886000	0.0493534	0.123077	0.0124075	0.0307385																				
Kokkos::Impl::ViewInit<Kokkos::View<double* [3], Kokkos::OpenMP, void, void, Kokkos::Impl::LayoutDefault>, 2u>::operator()(unsigned long) const at Kokkos_ViewSupport.hpp	0.0189226	0.002	155123000	0.04824	0.0615385	0.0121276	0.0153692																				
Kokkos::Impl::ParallelFor<FinalIntegrateFunctor, unsigned long, Kokkos::OpenMP>::ParallelFor(FinalIntegrateFunctor const&, unsigned long) at Kokkos_OpenMP_Parallel.hpp	0.0124656	0.001	281028000	0.0317789	0.0307692	0.00798927	0.00768462																				
DeepCopyFunctor<Kokkos::View<double* [3], Kokkos::OpenMP, void, void, Kokkos::Impl::LayoutDefault>, 2>::operator()(int) const at types.h	0.0116633	0.001	351947000	0.0297335	0.0307692	0.00747506	0.00768462																				
Kokkos::Impl::ParallelFor<ForceComputeHalfneighThreadedFunctor, unsigned long, Kokkos::OpenMP>::ParallelFor(ForceComputeHalfneighThreadedFunctor const&, unsigned long) at Kokkos_OpenMP_Parallel.hpp	0.0112207	0.001	326062000	0.0286053	0.0307692	0.00719142	0.00768462																				
Kokkos::Impl::ParallelFor<NeighborBinatomsFunctor, unsigned long, Kokkos::OpenMP>::ParallelFor(NeighborBinatomsFunctor const&, unsigned long) at Kokkos_OpenMP_Parallel.hpp	0.0102347	0.001	563433000	0.0260917	0.0307692	0.00655949	0.00768462																				
Kokkos::Impl::ParallelFor<DeepCopyFunctor<Kokkos::View<double* [3], Kokkos::OpenMP, void, void, Kokkos::Impl::LayoutDefault>, 2>, unsigned long, Kokkos::OpenMP>::ParallelFor(DeepCopyFunctor<Kokkos::View<double* [3], Kokkos::OpenMP, void, void, Kokkos::Impl::LayoutDefault>, 2> const&, unsigned long) at Kokkos_OpenMP_Parallel.hpp	0.00885474	0.001	281031000	0.0225736	0.0307692	0.00567505	0.00768462																				
create_atoms(Atom&, int, int, int, double) at setup.cpp	0.00870582	0.001	279372000	0.022194	0.0307692	0.00557961	0.00768462																				
Neighbor::coord2bin(double, double, double) const at neighbor.cpp	0.00732837	0.001	368379000	0.0186824	0.0307692	0.00469679	0.00768462																				
																											
THREAD 3																											
Func Name	Total Energy(j)	Total Time(s)	Energy Efficiency(inst/joule)	% Core Energy	% Core Time	% Tot Energy	% Tot Time																				
atomic_fetch_add<double> at Kokkos_Atomic_Fetch_Add.hpp	23.2616	1.944	300067000	60.0271	59.8154	14.9085	14.9389																				
compute_halfneigh_threadedItem<0, 1> at force_lj.cpp	6.95123	0.583	298680000	17.9378	17.9385	4.45508	4.48014																				
Neighbor::build_Item(int const&) const at neighbor.cpp	3.17314	0.218	526528000	8.18836	6.70769	2.03368	1.67525																				
operator()<int, int> at Kokkos_View.hpp	3.15336	0.271	312255000	8.13733	8.33846	2.021	2.08253																				
?? at ??	0.7618	0.098	247717000	1.96584	3.01538	0.488241	0.753093																				
compute_halfneigh_threadedItem<1, 1> at force_lj.cpp	0.304999	0.025	279813000	0.787059	0.769231	0.195476	0.192116																				
Integrate::initialIntegrateItem(int const&) const at integrate.cpp	0.233905	0.025	263546000	0.603598	0.769231	0.149911	0.192116																				
Integrate::finalIntegrateItem(int const&) const at integrate.cpp	0.108943	0.017	220185000	0.28113	0.523077	0.069822	0.130639																				
Neighbor::binatomsItem(int const&) const at neighbor.cpp	0.104602	0.004	306935000	0.269929	0.123077	0.0670402	0.0307385																				
ForceZeroFunctor::operator()(int) const at force.h	0.0829748	0.008	296972000	0.214119	0.246154	0.053179	0.061477																				
ViewAssignment<int const*, Kokkos::OpenMP, Kokkos::MemoryTraits<1u>, void, int**, Kokkos::LayoutRight, Kokkos::OpenMP, void> at Kokkos_ViewDefault.hpp	0.0804147	0.006	618497000	0.207512	0.184615	0.0515382	0.0461077																				
Kokkos::Impl::ViewInit<Kokkos::View<int**, Kokkos::OpenMP, void, void, Kokkos::Impl::LayoutDefault>, 2u>::operator()(unsigned long) const at Kokkos_ViewSupport.hpp	0.0682758	0.003	513889000	0.176187	0.0923077	0.0437583	0.0230539																				
DeepCopyFunctor<Kokkos::View<double* [3], Kokkos::LayoutRight, Kokkos::OpenMP, void, Kokkos::Impl::LayoutDefault>, 2>::operator()(int) const at types.h	0.065685	0.005	219546000	0.169502	0.153846	0.0420978	0.0384231																				
operator[]<int> at Kokkos_View.hpp	0.0537978	0.005	605243000	0.138827	0.153846	0.0344793	0.0384231																				
Kokkos::Impl::ViewInit<Kokkos::View<double* [3], Kokkos::LayoutRight, Kokkos::OpenMP, void, Kokkos::Impl::LayoutDefault>, 2u>::operator()(unsigned long) const at Kokkos_ViewSupport.hpp	0.0447345	0.004	385151000	0.115438	0.123077	0.0286705	0.0307385																				
at<long unsigned int, long unsigned int> at Kokkos_View.hpp	0.0425395	0.004	677259000	0.109774	0.123077	0.0272638	0.0307385																				
Atom::sortItem(int const&) const at atom.cpp	0.0356263	0.002	180343000	0.0919346	0.0615385	0.0228331	0.0153692																				
Atom::pack_commItemPBC(int const&) const at atom.cpp	0.0343494	0.003	240608000	0.0886396	0.0923077	0.0220147	0.0230539																				
Kokkos::Impl::ParallelFor<ForceZeroFunctor, unsigned long, Kokkos::OpenMP>::ParallelFor(ForceZeroFunctor const&, unsigned long) at Kokkos_OpenMP_Parallel.hpp	0.034118	0.003	227176000	0.0880424	0.0923077	0.0218664	0.0230539																				
Comm::border_sendItemA(int) const at comm.cpp	0.033167	0.002	279713000	0.0855884	0.0615385	0.0212569	0.0153692																				
Atom::unpack_commItem(int const&) const at atom.cpp	0.0255627	0.003	337418000	0.0659651	0.0923077	0.0163832	0.0230539																				
Atom::unpack_reverseItem(int const&) const at atom.cpp	0.0222363	0.006	216320000	0.0573812	0.184615	0.0142513	0.0461077																				
Kokkos::Impl::ParallelFor<AtomUnpackReverseFunctor, unsigned long, Kokkos::OpenMP>::ParallelFor(AtomUnpackReverseFunctor const&, unsigned long) at Kokkos_OpenMP_Parallel.hpp	0.0142877	0.001	98094500	0.0368698	0.0307692	0.00915707	0.00768462																				
Kokkos::Impl::ParallelFor<DeepCopyFunctor<Kokkos::View<double* [3], Kokkos::OpenMP, void, void, Kokkos::Impl::LayoutDefault>, 2>, unsigned long, Kokkos::OpenMP>::ParallelFor(DeepCopyFunctor<Kokkos::View<double* [3], Kokkos::OpenMP, void, void, Kokkos::Impl::LayoutDefault>, 2> const&, unsigned long) at Kokkos_OpenMP_Parallel.hpp	0.0124213	0.001	281022000	0.0320535	0.0307692	0.00796087	0.00768462																				
Kokkos::Impl::ParallelFor<ForceComputeHalfneighThreadedFunctor, unsigned long, Kokkos::OpenMP>::ParallelFor(ForceComputeHalfneighThreadedFunctor const&, unsigned long) at Kokkos_OpenMP_Parallel.hpp	0.012282	0.001	326062000	0.0316941	0.0307692	0.00787162	0.00768462																				
Kokkos::Impl::ParallelFor<NeighborBinatomsFunctor, unsigned long, Kokkos::OpenMP>::ParallelFor(NeighborBinatomsFunctor const&, unsigned long) at Kokkos_OpenMP_Parallel.hpp	0.0112927	0.001	563432000	0.029141	0.0307692	0.00723753	0.00768462																				
DeepCopyFunctor<Kokkos::View<double* [3], Kokkos::OpenMP, void, void, Kokkos::Impl::LayoutDefault>, 2>::operator()(int) const at types.h	0.00926276	0.001	351947000	0.0239028	0.0307692	0.00593655	0.00768462																				
Atom::pack_reverseItem(int const&) const at atom.cpp	0.00634007	0.004	216621000	0.0163607	0.123077	0.00406338	0.0307385																				
Kokkos::Impl::ParallelFor<FinalIntegrateFunctor, unsigned long, Kokkos::OpenMP>::ParallelFor(FinalIntegrateFunctor const&, unsigned long) at Kokkos_OpenMP_Parallel.hpp	0.00576635	0.001	281038000	0.0148802	0.0307692	0.00369568	0.00768462																				
Kokkos::Impl::ViewInit<Kokkos::View<double* [3], Kokkos::OpenMP, void, void, Kokkos::Impl::LayoutDefault>, 2u>::operator()(unsigned long) const at Kokkos_ViewSupport.hpp	0.00311283	0.001	216036000	0.00803275	0.0307692	0.00199503	0.00768462																				
																											
GLOBAL																											
		Total Energy(j)	Total Time(s)	Energy Efficiency(inst/joule)	Elapsed Time(s)																						
		156.029	13.013	314550000	3.70945																						
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
						Core 1 Time	Core 1 Energy	Core 2 Time	Core 2 Energy	Core 3 Time	Core 3 Energy	Core 4 Time	Core 4 Energy														
						14.4874	14.8851	14.6476	14.8697	15.0193	15.2463	14.9085	14.9389														
						4.65987	4.6953	4.64961	4.71067	4.36017	4.41097	4.45508	4.48014														
						2.29182	2.25159	2.19168	2.25928	2.11486	2.12096	2.03368	1.67525														
						2.03142	1.6983	2.03398	1.6983	2.04073	1.6983	2.021	2.08253														
						0.666533	0.430339	0.193165	0.1998	0.435319	0.391916	0.488241	0.753093														
						0.221011	0.1998	0.16295	0.1998	0.213361	0.1998	0.195476	0.192116														
						0.194243	0.1998	0.153664	0.2997	0.206187	0.1998	0.149911	0.192116														
						0.128114	0.0768462	0.0600273	0.0537924	0.147474	0.122954	0.069822	0.130639														
																											
						Core 1	Core 2	Core 3	Core 4																		
						-2.7079751468	-1.5048801889	-1.5000528653	-0.2037028351																		
						-0.7574421416	-1.3046618264	-1.1583442973	-0.5609263118																		
						1.7709165583	-3.0375469562	-0.2880197931	19.3279463349																		
						17.8630031209	17.9879323095	18.3165152459	-2.9988814508																		
						43.0668300403	-3.3768910717	10.4935115173	-42.6721575338																		
						10.0810102398	-20.3170227429	6.5645111712	1.733781915																		
						-2.8205043612	-64.4232890128	3.1464061657	-24.6793381809																		
						50.0270784279	10.9557484337	18.134216871	-60.6771391942																		
																											
						Core 1	Core 2	Core 3	Core 4																		
						2.7079751468	1.5048801889	1.5000528653	0.2037028351																		
						0.7574421416	1.3046618264	1.1583442973	0.5609263118																		
						1.7709165583	3.0375469562	0.2880197931	19.3279463349																		
						17.8630031209	17.9879323095	18.3165152459	2.9988814508																		
						43.0668300403	3.3768910717	10.4935115173	42.6721575338																		
						10.0810102398	20.3170227429	6.5645111712	1.733781915																		
						2.8205043612	64.4232890128	3.1464061657	24.6793381809																		
						50.0270784279	10.9557484337	18.134216871	60.6771391942																		
